"REFFABRICANTE";"TITULO";"CODIGOINTERNO";"EAN/UPC";"CODFAMILIA";"TITULOFAMILIA";"CODSUBFAMILIA";"TITULOSUBFAMILIA";"CODFABRICANTE";"NOMFABRICANTE";PRECIO;"STOCK";PESO;"PROXIMA_LLEGADA";"CICLOVIDA";"PLAZOENTREGA";"CANONLPI";"PRECIOSINCANON";
"TQE-3513B";"TooQ TQE-3513B caja HDD 3.5"" IDE/SATA3 USB 2.0 Neg";"AAACET0154";"8433281006775";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";12,6000000000;17;0,8000000000;"";"";"0,0000000000";"0,0000000000";12,6000000000;
"TQE-3530B";"TooQ TQE-3530B caja HDD 3.5"" SATA3 USB 3.0 Negra";"AAACET0155";"8433281006782";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";11,7900000000;5;0,7950000000;"05/12/2017";"";"0,0000000000";"0,0000000000";11,7900000000;
"TQDS-902B";"Tooq TQDS-902B Dock Station Doble Bahía HDD Negro";"AAACET0157";"8433281006874";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";17,2700000000;11;0,7600000000;"";"";"0,0000000000";"0,0000000000";17,2700000000;
"TQE-2507B";"TooQ TQE-2507B caja HDD 2.5"" SATA3 USB 2.0 Negra";"AAACET0158";"8433281006843";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";4,2400000000;39;0,2100000000;"";"";"0,0000000000";"0,0000000000";4,2400000000;
"TQE-2527B";"TooQ TQE-2527B caja HDD 2.5"" SATA3 USB 3.0 Negra";"AAACET0159";"8433281006850";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";5,7400000000;36;0,1000000000;"";"";"0,0000000000";"0,0000000000";5,7400000000;
"TQE-3527B";"TooQ TQE-3527B caja HDD 3.5"" SATA3 USB 3.0 Negra";"AAACET0160";"8433281006867";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";11,2500000000;100;0,3500000000;"";"";"0,0000000000";"0,0000000000";11,2500000000;
"appHDD07B";"approx appHDD07B Caja Ext.3.5"" USB 2.0 SATA Negra";"AAACET0162";"8435099515623";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";14,8800000000;15;0,5300000000;"";"";"0,0000000000";"0,0000000000";14,8800000000;
"appHDD07W";"approx appHDD07W Caja Ext.3.5"" USB 2.0 SATA Blanca";"AAACET0163";"8435099515630";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";15,8300000000;13;0,5300000000;"";"";"0,0000000000";"0,0000000000";15,8300000000;
"appHDD09B";"approx appHDD09B Caja Ext.2.5"" USB 2.0 SATA Negra";"AAACET0165";"8435099515678";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";5,6000000000;4;0,1950000000;"";"Ultimas unidades";"0,0000000000";"0,0000000000";5,6000000000;
"appHDD09P";"approx appHDD09P Caja Ext.2.5"" USB 2.0 SATA Púrpur";"AAACET0168";"8435099515708";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";5,9200000000;14;0,1500000000;"";"";"0,0000000000";"0,0000000000";5,9200000000;
"appHDD10B";"approx appHDD10B Caja Ext.2.5"" USB 3.0 SATA Negra";"AAACET0169";"8435099515715";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";8,6400000000;18;0,2000000000;"";"";"0,0000000000";"0,0000000000";8,6400000000;
"appHDD10LB";"approx appHDD10LB Caja Ext.2.5"" USB 3.0 SATA Azul";"AAACET0170";"8435099515739";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";8,6300000000;18;0,1950000000;"";"";"0,0000000000";"0,0000000000";8,6300000000;
"appHDD10GP";"approx appHDD10GP Caja Ext.2.5"" USB 3.0 SATA Verde";"AAACET0171";"8435099515722";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";8,6400000000;10;0,2000000000;"";"";"0,0000000000";"0,0000000000";8,6400000000;
"appHDD08B";"approx appHDD08B Caja Ext.3.5"" USB 3.0 SATA Negra";"AAACET0173";"8435099515647";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";18,7600000000;23;0,5350000000;"";"";"0,0000000000";"0,0000000000";18,7600000000;
"TQE-2524B";"TooQ TQE-2524B caja HD 2.5"" SATA3 USB 3.0 Negra";"AAACET0179";"8433281007208";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";4,9900000000;83;0,1800000000;"";"";"0,0000000000";"0,0000000000";4,9900000000;
"TQE-2529B";"TooQ TQE-2529B caja HD 2.5"" SATA3 USB 3.0 Negra";"AAACET0180";"8433281007314";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";7,0000000000;28;0,2100000000;"";"";"0,0000000000";"0,0000000000";7,0000000000;
"TQE-2522B";"TooQ TQE-2522B caja HD 2.5"" SATA3 USB 3.0 Negra";"AAACET0181";"8433281007024";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";5,2500000000;41;0,1700000000;"";"";"0,0000000000";"0,0000000000";5,2500000000;
"TQE-25DES01B";"TooQ TQE-25DES01B caja HD 2.5"" SATA3 USB 3.0 Cifr.";"AAACET0182";"8433281007406";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";11,1300000000;13;0,2600000000;"";"";"0,0000000000";"0,0000000000";11,1300000000;
"EW7044";"Ewent EW7044  Caja externa 2.5"" HD/SSD USB 3.0";"AAACET0183";"8054392610981";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";6,6800000000;19;0,2040000000;"";"";"0,0000000000";"0,0000000000";6,6800000000;
"EW7056";"Ewent EW7056 Caja externa 3.5"" SATA a USB 3.0";"AAACET0184";"8054392610998";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";13,6800000000;17;0,5180000000;"";"";"0,0000000000";"0,0000000000";13,6800000000;
"EW7023";"Ewent EW7023 Caja externa SSD M2 USB 3.1 Aluminio";"AAACET0185";"8056045878663";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";14,9900000000;30;0,1770000000;"";"";"0,0000000000";"0,0000000000";14,9900000000;
"EW7014";"Ewent EW7014 Dock Station Dual 2.5""-3.5"" USB 3.1";"AAACET0186";"8054392611018";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";22,3300000000;18;0,8260000000;"";"";"0,0000000000";"0,0000000000";22,3300000000;
"EW7040";"EWENT EW7040 USB 3.1 Gen1 Type-A 2.5""HDD/SSD CARCA";"AAACET0188";"8054392612190";"AA";"Accesorios Almacenamiento";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";15,0000000000;8;0,2700000000;"";"Novedad";"0,0000000000";"0,0000000000";15,0000000000;
"EW1241";"EWENT EW1241 Cable Seguridad con combinacion";"AAOAAC0046";"8056045875372";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"04193";"Ewent";2,9900000000;18;0,1250000000;"";"";"0,0000000000";"0,0000000000";2,9900000000;
"IGG311417";"iggual Cable de Seguridad Portátiles (4 dígitos)";"AAOAAC0051";"8435364311417";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"60001";"iggual";2,9500000000;54;0,0145500000;"";"";"0,0000000000";"0,0000000000";2,9500000000;
"IGG311400";"iggual Cable de Seguridad Portátiles (Key lock)";"AAOAAC0052";"8435364311400";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"60001";"iggual";2,4500000000;46;0,0127300000;"";"";"0,0000000000";"0,0000000000";2,4500000000;
"EW1242";"EWENT EW1242 Cable de Seguridad con llave";"AAOAAC0055";"8054392610370";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"04193";"Ewent";2,5500000000;16;0,1000000000;"07/12/2017";"";"0,0000000000";"0,0000000000";2,5500000000;
"3PCONLKBRB5.0001";"Cougar Alfombrilla Speed 2-S Gaming Negro";"AAOAAC0056";"4715302448998";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"04264";"Cougar";3,8900000000;3;0,2000000000;"07/12/2017";"";"0,0000000000";"0,0000000000";3,8900000000;
"TANZ0116V3";"TECH AIR BAGGY GRIS 7-11,6""";"AAOABT0045";"5060369673234";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";6,5900000000;32;0,3030000000;"05/12/2017";"";"0,0000000000";"0,0000000000";6,5900000000;
"TANZ0119V3";"Tech Air TANZ0119V3 Maletin 17.3"" Negro";"AAOABT0083";"5060182451484";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";11,2500000000;39;0,8000000000;"";"";"0,0000000000";"0,0000000000";11,2500000000;
"ATCN20BRV5";"Tech air maletín básico 15.6""";"AAOABT0233";"8713525713004";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";7,3400000000;44;1,0650000000;"";"";"0,0000000000";"0,0000000000";7,3400000000;
"TAN3711V2";"Tech air Diseño mochila portátil 15.6"" negra";"AAOABT0256";"5060182452160";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";22,5000000000;7;1,2000000000;"";"";"0,0000000000";"0,0000000000";22,5000000000;
"TANZ0117V3";"Tech air Baggy Gris maletín portátil 15.6""";"AAOABT0279";"5060369673173";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";8,9900000000;13;0,4500000000;"";"";"0,0000000000";"0,0000000000";8,9900000000;
"TANZ0305V3";"Tech Air TANZ0305 funda para portátil 10-11.6""";"AAOABT0306";"5060182456205";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";6,9900000000;100;0,2550000000;"";"";"0,0000000000";"0,0000000000";6,9900000000;
"APPNB15LB";"approx! APPNB15LB Maletin  Portatil 15,6"" Celeste";"AAOABT0307";"8435099510970";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";7,2900000000;6;0,6500000000;"07/12/2017";"";"0,0000000000";"0,0000000000";7,2900000000;
"TANZ0713V3";"Tech Air Z0713 mochila portátil 16-17.3""";"AAOABT0312";"5060182455796";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";13,5500000000;6;0,6850000000;"05/12/2017";"";"0,0000000000";"0,0000000000";13,5500000000;
"APPNB15P";"approx! APPNB15P Maletín  Portátil 15,6""  Púrpura";"AAOABT0319";"8435099511014";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";7,2900000000;16;0,6150000000;"";"";"0,0000000000";"0,0000000000";7,2900000000;
"TAN3205v3";"Tech Air maletín Ciruela 15.6""";"AAOABT0322";"5060369673708";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";18,5000000000;3;0,8000000000;"15/12/2017";"";"0,0000000000";"0,0000000000";18,5000000000;
"TAN1202v2";"Tech Air maletín moderno 15,6"" Negro/Azul TAN1202";"AAOABT0334";"5060182456076";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";13,7500000000;6;0,4000000000;"";"";"0,0000000000";"0,0000000000";13,7500000000;
"TANZ0102V5";"Tech Air TANZ0102V5 maletin portatil 10-14,1""";"AAOABT0371";"8713525722006";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";9,9000000000;20;0,7800000000;"05/12/2017";"";"0,0000000000";"0,0000000000";9,9000000000;
"TANB0100";"Tech Air Maletin TANB100 15,6"" Negro";"AAOABT0380";"5060182457998";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";5,7500000000;69;0,4650000000;"";"";"0,0000000000";"0,0000000000";5,7500000000;
"APPNB15B";"approx! APPNB15B Maletin Portatil 15,6"" Negro";"AAOABT0406";"8435099513094";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";6,2000000000;0;0,6400000000;"07/12/2017";"";"0,0000000000";"0,0000000000";6,2000000000;
"TABX406R";"Tech air TABX406R maletín portátil 15.6"" + ratón";"AAOABT0411";"5060182457837";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";9,5000000000;36;0,6050000000;"";"";"0,0000000000";"0,0000000000";9,5000000000;
"TANZ0331";"Tech air Funda de Neopreno Notebook 15.6"" TANZ0331";"AAOABT0419";"5060182458575";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";11,8000000000;10;0,4850000000;"";"";"0,0000000000";"0,0000000000";11,8000000000;
"TANB0700V3";"Tech Air Mochila Acolchada TANB0700V3  15,6"" Negro";"AAOABT0420";"5060369673258";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";9,4500000000;2;0,5000000000;"05/12/2017";"";"0,0000000000";"0,0000000000";9,4500000000;
"LL-912";"L-Link Maletin  para portatil de  15.6""  LL-912";"AAOABT0423";"8436531364632";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04177";"L-Link";6,4500000000;25;0,2000000000;"";"Ultimas unidades";"0,0000000000";"0,0000000000";6,4500000000;
"APPNB17B";"approx! APPNB17B Maletin para Portatil 17"" Negro";"AAOABT0427";"8435099514534";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";8,2500000000;7;0,6000000000;"";"";"0,0000000000";"0,0000000000";8,2500000000;
"TANZ0140";"Tech air maletín acolchado 15.6""";"AAOABT0428";"5060182457813";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";5,9000000000;45;0,2000000000;"";"";"0,0000000000";"0,0000000000";5,9000000000;
"ANBG2";"Tacens Anima BAG Maletín portátil 17.3"" Negro";"AAOABT0438";"4713105963168";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04080";"Tacens";8,6700000000;9;0,4000000000;"";"";"0,0000000000";"0,0000000000";8,6700000000;
"APPNB17P";"approx! APPNB17P Maletin para Portatil 17"" Morado";"AAOABT0444";"8435099515210";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";8,2500000000;6;0,7200000000;"07/12/2017";"";"0,0000000000";"0,0000000000";8,2500000000;
"TABUN29MV3";"Tech air TABUN29MV3 maletín portátil 15.6""+ratón";"AAOABT0448";"5060182450937";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";9,9900000000;16;0,7800000000;"05/12/2017";"";"0,0000000000";"0,0000000000";9,9900000000;
"APPNBCP15BBL";"approx! Maletín Portátil 15.6"" Negro/Azul";"AAOABT0449";"8435099515951";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";8,2000000000;8;0,6400000000;"";"Ultimas unidades";"0,0000000000";"0,0000000000";8,2000000000;
"APPNBCP15BP";"approx! Maletín Portátil 15.6"" Negro/ Púrpura";"AAOABT0452";"8435099515982";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";8,2000000000;9;0,6550000000;"";"Ultimas unidades";"0,0000000000";"0,0000000000";8,2000000000;
"APPNBCP15BR";"approx! Maletín Portátil 15.6"" Negro/ Rojo";"AAOABT0453";"8435099515999";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";8,2000000000;8;0,6000000000;"";"Ultimas unidades";"0,0000000000";"0,0000000000";8,2000000000;
"APPNBST15BBL";"approx! Maletín Diseño Portátil 15.6"" Negro/ Azul";"AAOABT0454";"8435099515838";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";13,2500000000;10;0,9050000000;"";"Ultimas unidades";"0,0000000000";"0,0000000000";13,2500000000;
"APPNBST15BR";"approx! Maletín Diseño Portátil 15.6"" Negro/ Rojo";"AAOABT0456";"8435099515852";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";13,2500000000;3;0,8800000000;"";"";"0,0000000000";"0,0000000000";13,2500000000;
"TANZ0108v3";"Tech Air Maletin Clasico TANZ0108 15,6"" Negro";"AAOABT0470";"5060369673678";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";12,3000000000;9;0,2000000000;"";"";"0,0000000000";"0,0000000000";12,3000000000;
"TANZ0330V2";"Tech air Funda de Neopreno Notebook 13.3 TANZ0330";"AAOABT0471";"5060182458551";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";8,2000000000;17;0,3850000000;"05/12/2017";"";"0,0000000000";"0,0000000000";8,2000000000;
"BUREAUKIT";"NGS Bolsa portátil Organizer16"" + Raton";"AAOABT0473";"8435430603972";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01040";"NGS";6,9700000000;11;0,8150000000;"29/12/2017";"";"0,0000000000";"0,0000000000";6,9700000000;
"APPNBBUNDLE2";"approx! APPNBBUNDLE2 Maletín Portátil 15,6""+Ratón";"AAOABT0485";"8435099518716";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";7,4900000000;100;0,6000000000;"";"";"0,0000000000";"0,0000000000";7,4900000000;
"ENTERPRISE";"NGS BUSINESS NOTEBOOK BAG 15.6"" Negro";"AAOABT0486";"8435430601602";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01040";"NGS";4,8500000000;66;0,2500000000;"07/12/2017";"";"0,0000000000";"0,0000000000";4,8500000000;
"APPNBBUNDLE4";"approx! APPNBBUNDLE4 Mochila Portátil 15,6""+Ratón";"AAOABT0487";"8435099519027";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";10,2000000000;10;0,7800000000;"07/12/2017";"";"0,0000000000";"0,0000000000";10,2000000000;
"112119003";"GABOL Trolley 15.6"" con 2 ruedas Azul Pilotos";"AAOABT0504";"8425126134583";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";36,0000000000;4;2,6000000000;"";"";"0,0000000000";"0,0000000000";36,0000000000;
"TANZ0311V2";"Tech Air TANZ0311 funda para portátil 17.3"" Negro";"AAOABT0509";"5060182456755";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";9,6900000000;0;0,1000000000;"05/12/2017";"";"0,0000000000";"0,0000000000";9,6900000000;
